,division,age,gender,edu,occupation,device_count_5_yr,last_dumped_device,dump_within,dump_reason,did_with_device,did_with_data,miss_dev,memory_dev,miss_another,normally_do,device_to_rep,self_try,self_try_chlng,rprd_usage_chlng,rpr_missing_trait,bad_rep_exp,dev_tknto_rec,dev_rec_chlng,will_dev_rec,prblm_not_recd
51,Dhaka,20-29,Man,High School,Student,6-8,Featurephone,<4 yr,2,1,1.0,N,N,N,4,"Smartphone, Featurephone, Desktop","2, 3","1, 6, 7",2,"5, 6, 7",NC,Nothing,"1, 2",N,2
52,Dhaka,20-29,Man,High School,Student,12-,Tablet,<4 yr,6,1,3.0,N,Y,Y,1,"Smartphone, Desktop, Laptop",2,"1, 3, 5, 7","1, 3","4, 5, 6",Y,Desktop,2,N,2
53,Dhaka,20-29,Woman,High School,Student,6-8,Tablet,<2 yr,1,"1, 4",5.0,N,N,N,1,"Smartphone, Featurephone, Desktop, Laptop",3,"2, 5",4,"5, 6, 7",NC,Featurephone,"2, 4",,2
54,Dhaka,20-29,Man,High School,Student,3-4,Smartphone,<6 mn,2,"1, 5",5.0,Y,N,N,"1, 4",Smartphone,2,"1, 3, 5, 6, 7","2, 3, 4, 6",1,NC,Nothing,"1, 2, 4, 5, 6",,"1, 2, 3, 5"
55,Dhaka,20-29,Man,Bachelors,Job,6-8,Laptop,<1 yr,"3, 6",1,5.0,N,N,N,1,"Featurephone, Laptop, Tablet","2, 3",6,3,"4, 6",NC,Nothing,,,2
56,Dhaka,20-29,Woman,High School,Student,1-2,Featurephone,>4 yr,7,1,5.0,Y,Y,Y,"1, 4, 6","Smartphone, Desktop, Laptop","2, 3","1, 3, 6","2, 3, 4","3, 4, 6, 7",NC,"Smartphone, Desktop","1, 3, 4",N,"1, 2, 3"
57,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<2 yr,"2, 6",1,5.0,Y,Y,N,6,"Smartphone, Desktop",3,"1, 3, 6","2, 3","2, 3, 4, 5",Y,Featurephone,"1, 3",N,"1, 2"
58,Dhaka,30-39,Man,Bachelors,Job,4-6,Desktop,<1 yr,"1, 2, 3, 6","1, 5",5.0,Y,Y,N,"1, 6","Desktop, Tablet",3,"1, 5",2,2,N,Desktop,"2, 3, 4, 5",Y,"1, 2, 3, 5"
59,Dhaka,20-29,Man,Bachelors,Teacher,4-6,Smartphone,<6 mn,3,1,2.0,Y,Y,N,"1, 4","Smartphone, Desktop, Laptop",3,"1, 5, 6, 7","3, 4","1, 2, 4, 5",Y,Keyboard,"1, 2, 3, 4",N,2
60,Chittagong,30-39,Man,Masters,Teacher,4-6,Smartphone,<6 mn,"2, 3",1,4.0,N,Y,Y,"1, 4, 6","Smartphone, Desktop, Laptop","2, 3","5, 6",3,"2, 3, 4",Y,Featurephone,"2, 4",N,"1, 2"
61,Dhaka,30-39,Man,Bachelors,Technical Works,6-8,Smartphone,<6 mn,3,1,2.0,Y,N,Y,1,"Smartphone, Desktop, Laptop",2,3,"3, 4, 6","1, 4, 6",NC,Featurephone,"3, 4",N,"1, 2, 3"
62,Dhaka,1-19,Man,High School,Student,1-2,Smartphone,<6 mn,4,6,1.0,Y,Y,N,1,Smartphone,2,"1, 6",4,"1, 2, 3, 4, 5, 6",N,Nothing,"1, 2, 3, 5",N,1
63,Dhaka,70+,Man,Bachelors,Retired,3-4,Smartphone,<1 yr,"1, 2",1,1.0,N,Y,N,"1, 2","Smartphone, Desktop",1,8,"3, 4","3, 5, 6",Y,Nothing,"1, 2, 3",N,2
64,Dhaka,20-29,Man,High School,Student,8-10,Featurephone,<1 yr,4,,1.0,N,Y,Y,"1, 6","Smartphone, Laptop, Tablet",1,"5, 8","3, 4","2, 4",Y,Nothing,2,N,
65,Chittagong,30-39,Man,Bachelors,Business,3-4,Laptop,<2 yr,2,1,5.0,Y,Y,N,1,"Smartphone, Desktop, Laptop",2,"5, 6, 7","3, 4",,NC,Nothing,,N,
66,Dhaka,20-29,Man,Bachelors,Student,3-4,Tablet,<6 mn,2,1,1.0,N,Y,Y,5,Smartphone,2,1,3,2,NC,Desktop,1,Y,1
67,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<2 yr,"1, 2, 6",1,5.0,N,Y,Y,"1, 4","Smartphone, Featurephone, Tablet",3,"1, 5, 6","3, 4, 6","2, 3, 4, 5, 6",Y,"Keyboard, Mouse","1, 4",N,"1, 2, 3, 4"
68,Dhaka,20-29,Man,Bachelors,Student,6-8,Tablet,<1 yr,1,3,4.0,N,N,Y,2,Tablet,1,"4, 5, 6, 7","3, 4",4,NC,Nothing,1,Y ,"1, 2, 3"
69,Dhaka,20-29,Man,High School,Student,3-4,Smartphone,<4 yr,"3, 6",1,5.0,N,Y,N,"1, 4, 5","Smartphone, Laptop","2, 3","4, 7","2, 3, 6",5,NC,Nothing,"1, 4",N,"1, 2"
70,Rongpur,30-39,Man,Masters,Job,6-8,Smartphone,<2 yr,5,3,4.0,N,Y,Y,"1, 5","Smartphone, Featurephone, Desktop, Laptop, Tablet",1,"1, 5, 6","3, 4","1, 2, 3, 4, 6, 7",Y,Nothing,"1, 2, 4",Y,"1, 2, 4, 5"
71,Dhaka,20-29,Woman,High School,Student,3-4,Tablet,<2 yr,3,1,4.0,N,N,Y,"1, 4","Smartphone, Desktop, Laptop",2,"5, 7","1, 2, 3, 6","2, 3, 4, 6",NC,Nothing,"1, 2, 3, 4",,"2, 4, 5"
72,Dhaka,20-29,Woman,High School,Student,4-6,Smartphone,<1 yr,"3, 6",3,5.0,Y,N,Y,1,Tablet,1,"3, 7","4, 7","4, 6",N ,Nothing,,,
73,Dhaka,30-39,Man,Masters,Banker,12-,Featurephone,>4 yr,5,1,5.0,N,N,Y,5,Smartphone,3,6,4,3,NC,Featurephone,1,,2
74,Dhaka,30-39,Man,Masters,Job,6-8,Smartphone,<2 yr,2,1,1.0,N,N,Y,1,"Smartphone, Desktop",3,"5, 6","4, 7","4, 5, 6",NC,Nothing,"1, 2, 6",Y,"1, 2, 5"
